ETP_DN2_DOWN;ETP_DN2_UP;DN2-DN3a_DOWN;DN2-DN3a_UP;DN3a_DN3b_DOWN;DN3a_DN3b_UP;DN3b_DN3-4_DOWN;DN3b_DN3-4_UP;DN3-4_ISP_DOWN;DN3-4_ISP_UP;ISP_DP_DOWN;ISP_DP_UP
ENTPD1;;CST7;KCNH2;SYTL2;TIMM23;;;;;GFM1;NPR1
ROBO4;;BRCA1;SYTL1;TCIRG1;TUBG1;;;;;ATP13A3;ZFP36
DUSP2;;GNA15;DEGS2;SNX15;NCAPG2;;;;;CCNB1;SLAMF1
FADS3;;NEIL3;TBC1D8;ZFP36L2;GMNN;;;;;TPI1;HSD11B1
ATF3;;MELK;CDH1;CISH;WDHD1;;;;;PRMT7;NTRK3
MYADM;;CPD;CAMKV;SYTL1;AURKB;;;;;ENY2;null
CD34;;MYBL2;null;CDKN1A;TIPIN;;;;;GCLM;NDST4
GADD45B;;SCCPDH;NFKB2;ALDOC;PASK;;;;;PTBP2;IGFBP4
PYGM;;ERG;null;TBC1D8;CHCHD3;;;;;ANGPTL4;WBSCR27
RHOB;;ZWILCH;CD28;SLC29A3;HIST1H4I;;;;;ANKRD32;RASGRP1
SLCO3A1;;IL1R1;NFKBIE;CDH1;CYCS;;;;;E2F8;PCDHB18
LBP;;CDCA5;SLC12A7;WDR45;GPSM2;;;;;PTPRJ;ADAMTSL4
CABLES1;;NUSAP1;PCNX;ACY3;FABP5;;;;;RAB27A;AHDC1
MPO;;CAB39L;HMGCS2;MAP1LC3B;ASNS;;;;;ZDHHC2;TES
SAMHD1;;HINT1;ARHGAP9;CAMKV;POLR2F;;;;;CDC7;IQCF3
ANXA1;;DKKL1;SLC37A2;NPC1;NAP1L1;;;;;MTHFD2;TNFAIP3
TREM1;;null;EHD3;null;SLC3A2;;;;;SNRPD1;null
S100A6;;POLE;DGKE;null;HMGB3;;;;;SMC2;ZNRF1
FOS;;USP1;null;null;ID3;;;;;HK2;PLXND1
IL1R2;;PDE2A;GFI1;EZH1;FEN1;;;;;LSM2;NFATC2
KCTD12;;ASAH1;CD3E;NFKBIE;SHMT1;;;;;SPATS2;null
CCRL2;;FZD6;null;null;COX7A2;;;;;TNPO3;NPAS2
CD28;;KLHDC2;BTG2;LXN;TIMELESS;;;;;ORC2L;NPHS2
CD86;;CENPH;RRAS2;SLC12A7;MASTL;;;;;CIT;NAB2
OAS2;;PGRMC1;TMEM50B;null;KIF18A;;;;;RAD51;NFKBIA
ELTD1;;MAGOH;GDPD1;ZC3H12A;BRCA1;;;;;KIF2C;EPAS1
BTG2;;MCM3;DNTT;GTPBP2;CKAP2;;;;;TAGLN2;JUP
null;;MPP6;null;HMGCS2;NEIL3;;;;;MTBP;CAV1
IER2;;CD5;CLCN2;LFNG;GTSE1;;;;;BID;SLC7A11
CD7;;PRIM1;AHR;null;TMEM97;;;;;TXNRD1;PPP1R1A
PLEK;;IL18RAP;BCL11B;PCMTD2;DBI;;;;;IL12RB2;DES
IL18R1;;TBXAS1;SMARCA4;null;MELK;;;;;NUP155;null
EBI3;;NT5C;DHRS3;SLC12A6;MYBL2;;;;;KIF20A;STX6
null;;MND1;NOTCH3;null;HSPA14;;;;;NFATC2IP;SP6
PDE4B;;RPS27L;POU6F1;TK2;null;;;;;RPA3;WSB2
KLRD1;;GATM;RAG1;null;CEP152;;;;;TPX2;FRAT1
null;;RPA1;ANKS3;SSTR2;IFI30;;;;;CHEK1;TMEM37
IFITM3;;UCHL5;PTCRA;BTG2;ZWILCH;;;;;null;PPP1R16B
IFIT1;;ZFP36;FBXL12;null;PHF19;;;;;RCC1;ALS2CL
PLD4;;HNF4A;null;null;CDCA5;;;;;LSM7;CD53
IFI44;;PCNA;GBP4;SFT2D2;NUSAP1;;;;;SLC25A13;null
TSC22D1;;EIF2S2;PQLC3;PIK3CD;RAN;;;;;IGBP1;CCR4
null;;COX5A;CTSL;GRN;HINT1;;;;;HDGF;PLAUR
;;ANGPT1;RNF157;TMEM50B;ADSL;;;;;DGCR8;KRTAP13-1
