ETP_DN2_DOWN;ETP_DN2_UP;DN2-DN3a_DOWN;DN2-DN3a_UP;DN3a_DN3b_DOWN;DN3a_DN3b_UP;DN3b_DN3-4_DOWN;DN3b_DN3-4_UP;DN3-4_ISP_DOWN;DN3-4_ISP_UP;ISP_DP_DOWN;ISP_DP_UP
;;;;;;;;;;PARN;
;;;;;;;;;;TOMM7;
;;;;;;;;;;RPL12;
;;;;;;;;;;SQLE;
;;;;;;;;;;CACYBP;
;;;;;;;;;;CCT3;
;;;;;;;;;;MRPS18B;
;;;;;;;;;;HIAT1;
;;;;;;;;;;RNF141;
;;;;;;;;;;SUV39H1;
;;;;;;;;;;RBM7;
;;;;;;;;;;STIP1;
;;;;;;;;;;UBE3A;
;;;;;;;;;;UBE2L3;
;;;;;;;;;;RAD50;
;;;;;;;;;;RTTN;
;;;;;;;;;;NSMAF;
;;;;;;;;;;null;
;;;;;;;;;;RFC4;
;;;;;;;;;;CRNKL1;
;;;;;;;;;;MARCKSL1;
;;;;;;;;;;MTO1;
;;;;;;;;;;ATPAF2;
;;;;;;;;;;KPNA3;
;;;;;;;;;;YWHAQ;
;;;;;;;;;;DNAJA2;
;;;;;;;;;;null;
;;;;;;;;;;TMEM165;
;;;;;;;;;;TMEM93;
;;;;;;;;;;SDHD;
;;;;;;;;;;GTF2H3;
;;;;;;;;;;TGDS;
;;;;;;;;;;EXOC6;
;;;;;;;;;;MRPL46;
;;;;;;;;;;GDI2;
;;;;;;;;;;null;
;;;;;;;;;;NSUN2;
;;;;;;;;;;RFC3;
;;;;;;;;;;CHCHD4;
;;;;;;;;;;PSMA5;
;;;;;;;;;;ADH5;
;;;;;;;;;;CSE1L;
;;;;;;;;;;RPL22;
;;;;;;;;;;DPH5;
;;;;;;;;;;GTF2E2;
;;;;;;;;;;null;
;;;;;;;;;;IKBKAP;
;;;;;;;;;;PRPF3;
;;;;;;;;;;null;
;;;;;;;;;;CLPP;
;;;;;;;;;;WDR82;
;;;;;;;;;;ST7;
;;;;;;;;;;CCT6A;
;;;;;;;;;;NUP153;
;;;;;;;;;;null;
;;;;;;;;;;PDCL3;
;;;;;;;;;;TUBGCP2;
;;;;;;;;;;PRMT1;
;;;;;;;;;;NR3C1;
;;;;;;;;;;ATP11C;
;;;;;;;;;;ELOVL5;
;;;;;;;;;;PDIA6;
;;;;;;;;;;MPP5;
;;;;;;;;;;LANCL2;
;;;;;;;;;;IPP;
;;;;;;;;;;SF3A3;
;;;;;;;;;;COIL;
;;;;;;;;;;UTP11L;
;;;;;;;;;;IARS;
;;;;;;;;;;DYNLT3;
;;;;;;;;;;GRINL1A;
;;;;;;;;;;null;
;;;;;;;;;;XRCC5;
;;;;;;;;;;RDBP;
;;;;;;;;;;TCP1;
;;;;;;;;;;LGALS3BP;
;;;;;;;;;;ZCCHC8;
;;;;;;;;;;POP4;
;;;;;;;;;;ATP5B;
;;;;;;;;;;DDX47;
;;;;;;;;;;ALG9;
;;;;;;;;;;MRPS33;
;;;;;;;;;;PSMA1;
;;;;;;;;;;SDHA;
;;;;;;;;;;REXO2;
;;;;;;;;;;SPAG7;
;;;;;;;;;;PPP6C;
;;;;;;;;;;DLAT;
;;;;;;;;;;PITRM1;
;;;;;;;;;;MTHFD1;
;;;;;;;;;;LRRC59;
;;;;;;;;;;VPS35;
;;;;;;;;;;STOML2;
;;;;;;;;;;TIPRL;
;;;;;;;;;;MECR;
;;;;;;;;;;SFXN1;
;;;;;;;;;;IDI1;
;;;;;;;;;;AK2;
;;;;;;;;;;PHB;
;;;;;;;;;;SEC23B;
;;;;;;;;;;CCT4;
;;;;;;;;;;UFC1;
;;;;;;;;;;WDR74;
;;;;;;;;;;POLDIP2;
;;;;;;;;;;null;
;;;;;;;;;;LIG3;
;;;;;;;;;;GTPBP4;
;;;;;;;;;;SLC7A6;
;;;;;;;;;;MBOAT1;
;;;;;;;;;;null;
;;;;;;;;;;null;
;;;;;;;;;;SPATA5;
;;;;;;;;;;CDK4;
;;;;;;;;;;AMPD2;
;;;;;;;;;;RABGGTB;
;;;;;;;;;;PSMD7;
;;;;;;;;;;PARP1;
;;;;;;;;;;IFT74;
;;;;;;;;;;MRRF;
;;;;;;;;;;PTRH2;
;;;;;;;;;;RPN2;
;;;;;;;;;;SLC35A4;
;;;;;;;;;;APEX1;
;;;;;;;;;;TXNDC9;
;;;;;;;;;;NFYB;
;;;;;;;;;;NFS1;
;;;;;;;;;;CAMKV;
;;;;;;;;;;BCAP31;
;;;;;;;;;;IPO7;
;;;;;;;;;;MSH2;
;;;;;;;;;;SF3B3;
;;;;;;;;;;SASS6;
;;;;;;;;;;USP9X;
;;;;;;;;;;PSMB2;
;;;;;;;;;;PRPS1;
;;;;;;;;;;null;
;;;;;;;;;;E2F6;
;;;;;;;;;;WDR77;
;;;;;;;;;;null;
;;;;;;;;;;GGH;
;;;;;;;;;;MBD4;
;;;;;;;;;;UPF2;
;;;;;;;;;;ASF1A;
;;;;;;;;;;EEF1G;
;;;;;;;;;;SEC61A2;
;;;;;;;;;;COPS5;
;;;;;;;;;;PWP1;
;;;;;;;;;;null;
;;;;;;;;;;PSMB8;
;;;;;;;;;;CUL4B;
;;;;;;;;;;B2M;
;;;;;;;;;;BCS1L;
;;;;;;;;;;PSME3;
;;;;;;;;;;RHEB;
;;;;;;;;;;RANBP2;
;;;;;;;;;;ZMAT2;
;;;;;;;;;;PLRG1;
;;;;;;;;;;MINA;
;;;;;;;;;;SMC3;
;;;;;;;;;;ATP1B3;
;;;;;;;;;;PRDX2;
;;;;;;;;;;VDAC3;
;;;;;;;;;;GRWD1;
;;;;;;;;;;HSP90AA1;
;;;;;;;;;;null;
;;;;;;;;;;null;
;;;;;;;;;;ADSS;
;;;;;;;;;;SSSCA1;
;;;;;;;;;;null;
;;;;;;;;;;FTSJ3;
;;;;;;;;;;null;
;;;;;;;;;;MDN1;
;;;;;;;;;;IMPA1;
;;;;;;;;;;SPRYD4;
;;;;;;;;;;STAG2;
;;;;;;;;;;MCM6;
;;;;;;;;;;IMP3;
;;;;;;;;;;PRPSAP2;
;;;;;;;;;;MRPL41;
;;;;;;;;;;ZCCHC17;
;;;;;;;;;;GART;
;;;;;;;;;;UHRF1;
;;;;;;;;;;DPAGT1;
;;;;;;;;;;CTSC;
;;;;;;;;;;FEM1B;
;;;;;;;;;;PLEKHA1;
;;;;;;;;;;ETFB;
;;;;;;;;;;BET1;
;;;;;;;;;;RCC2;
;;;;;;;;;;MLH1;
;;;;;;;;;;NMI;
;;;;;;;;;;DTYMK;
;;;;;;;;;;null;
;;;;;;;;;;ASH2L;
;;;;;;;;;;SRP68;
;;;;;;;;;;COPS2;
;;;;;;;;;;RRAS2;
;;;;;;;;;;GRN;
;;;;;;;;;;TMEM50B;
;;;;;;;;;;NIT2;
;;;;;;;;;;PDK3;
;;;;;;;;;;TBC1D19;
;;;;;;;;;;null;
;;;;;;;;;;AGPAT5;
;;;;;;;;;;SLMAP;
;;;;;;;;;;PIGX;
;;;;;;;;;;ELOVL6;
;;;;;;;;;;MAOA;
;;;;;;;;;;BRCC3;
;;;;;;;;;;RUVBL1;
;;;;;;;;;;IDH3G;
;;;;;;;;;;TMED5;
;;;;;;;;;;CASD1;
;;;;;;;;;;CCNH;
;;;;;;;;;;MRPL36;
;;;;;;;;;;DRG1;
;;;;;;;;;;ZC3HC1;
;;;;;;;;;;EIF2AK2;
;;;;;;;;;;PSMD5;
;;;;;;;;;;STARD4;
;;;;;;;;;;PAICS;
;;;;;;;;;;PRDX3;
;;;;;;;;;;SLC44A1;
;;;;;;;;;;HAT1;
;;;;;;;;;;PPA1;
;;;;;;;;;;EXOSC8;
;;;;;;;;;;TRIM13;
;;;;;;;;;;ZWINT;
;;;;;;;;;;MRPL23;
;;;;;;;;;;B3GALNT2;
;;;;;;;;;;PCGF6;
;;;;;;;;;;LMAN1;
;;;;;;;;;;SCARB1;
;;;;;;;;;;SLC22A3;
;;;;;;;;;;WARS;
;;;;;;;;;;SSR2;
;;;;;;;;;;VKORC1;
;;;;;;;;;;DCUN1D5;
;;;;;;;;;;CHAF1B;
;;;;;;;;;;PSME2;
;;;;;;;;;;null;
;;;;;;;;;;PNPT1;
;;;;;;;;;;DLD;
;;;;;;;;;;RNPEP;
;;;;;;;;;;CDCA7L;
;;;;;;;;;;GTF2B;
;;;;;;;;;;ARHGAP5;
;;;;;;;;;;OSGEP;
;;;;;;;;;;THUMPD3;
;;;;;;;;;;SLC30A6;
;;;;;;;;;;PSMD10;
;;;;;;;;;;CCDC43;
;;;;;;;;;;INTS4;
;;;;;;;;;;NGFRAP1;
;;;;;;;;;;MTF2;
;;;;;;;;;;DTNBP1;
;;;;;;;;;;DDX24;
;;;;;;;;;;null;
;;;;;;;;;;EXOSC7;
;;;;;;;;;;CHORDC1;
;;;;;;;;;;GGA2;
;;;;;;;;;;FUNDC1;
;;;;;;;;;;null;
;;;;;;;;;;PRPF38A;
;;;;;;;;;;ETV6;
;;;;;;;;;;MCOLN2;
;;;;;;;;;;BCAP29;
;;;;;;;;;;MMACHC;
;;;;;;;;;;ECHDC1;
;;;;;;;;;;DCPS;
;;;;;;;;;;HDAC2;
;;;;;;;;;;ATPIF1;
;;;;;;;;;;IL17RB;
;;;;;;;;;;MYC;
;;;;;;;;;;TSPAN31;
;;;;;;;;;;QSER1;
;;;;;;;;;;ALDH2;
;;;;;;;;;;CDK6;
;;;;;;;;;;PLA2G4A;
;;;;;;;;;;SLC30A5;
;;;;;;;;;;MRPL24;
;;;;;;;;;;ZIK1;
;;;;;;;;;;EIF4A2;
;;;;;;;;;;RNF130;
;;;;;;;;;;null;
;;;;;;;;;;EBP;
;;;;;;;;;;FKBP4;
;;;;;;;;;;SLC12A2;
;;;;;;;;;;PAFAH1B2;
;;;;;;;;;;PSMB10;
;;;;;;;;;;KCNK5;
;;;;;;;;;;CREG1;
;;;;;;;;;;BST2;
;;;;;;;;;;GPR65;
;;;;;;;;;;IFIT2;
;;;;;;;;;;PDRG1;
;;;;;;;;;;TRIM37;
;;;;;;;;;;LDLR;
;;;;;;;;;;GYPC;
;;;;;;;;;;AHSA1;
;;;;;;;;;;null;
;;;;;;;;;;null;
;;;;;;;;;;EEF2K;
;;;;;;;;;;null;
;;;;;;;;;;CCND2;
;;;;;;;;;;CSDA;
;;;;;;;;;;PLAC8;
;;;;;;;;;;null;
;;;;;;;;;;ACADL;
;;;;;;;;;;null;
;;;;;;;;;;RTP4;
;;;;;;;;;;SAP30;
